Gustavo,gus@yahoo.com,"['pop', 'rock', 'metal']","['guitarra', 'violão']"
Mario,mario@yahoo.com,"['rock', 'funk', 'hiphop']","['banjo', 'flauta']"
Lucca,lucca@yahoo.com,"['clássico', 'pop']",['']
Kleiton,kleiton@gmail.com,['pop'],['teclado']
Maria,maria@yahoo.com,"['clássico', 'funk', 'bossa nova', 'anos 90']","['banjo', 'cavaquinho', 'piano-espacial', 'harpa']"
Higor,higor@gmail.com,['kpop'],"['lira', 'orgao']"
Julio,julio@gmail.com,"['pisadinha', 'molejo']","['harpa', 'flauta']"
Karla,karla@gmail.com,['forrozinho'],['gaita']
Gui,gui@gmail.com,['pop'],['guitarra']
Marquinho1,mark1@,['reggae'],['viola']
Marquinho2,mark2@,['reggae'],['viola']
Joana1,j@1,['reggae'],['teclado']
Joana2,j2@,['reggae'],['teclado']
Marcia1,m1@,['reggae'],['berimbau']
Marcia2,m2@,['reggae'],['berimbau']
Marcio1,mo1@,['reggae'],['tambor']
Marci02,mo2@,['reggae'],['tambor']
Gui1,go1@,['reggae'],['flauta']
Gui2,go2@,['reggae'],['flauta']
Lucas1,lu1@,['reggae'],['guitarra']
Lucas2,lu2@,['reggae'],['guitarra']
Luc1,luc1@,['reggae'],['bateria']
Luc2,luc1@,['reggae'],['bateria']
Sandra,sandra@gmail.com,['sertanejo'],['violino']
Demerval,de@gmail.com,"['sertanejo', 'kpop']",['pandeiro']
